"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.mediaplayer","src/main/java/com/mediaplayer/MediaPlayerApplication.java","3","7","CommentRequired: Class comments are required","Documentation","CommentRequired"
"2","com.mediaplayer","src/main/java/com/mediaplayer/MediaPlayerApplication.java","3","7","UseUtilityClass: This utility class has a non-private constructor","Design","UseUtilityClass"
"3","com.mediaplayer","src/main/java/com/mediaplayer/MediaPlayerApplication.java","3","9","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"4","com.mediaplayer","src/main/java/com/mediaplayer/MediaPlayerApplication.java","3","9","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","9","UnnecessaryImport: Unused import 'org.springframework.http.ResponseEntity'","Code Style","UnnecessaryImport"
"6","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","11","UnnecessaryImport: Unused import 'org.springframework.web.bind.annotation.ExceptionHandler'","Code Style","UnnecessaryImport"
"7","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","15","UnnecessaryImport: Unused import 'org.springframework.web.bind.annotation.PutMapping'","Code Style","UnnecessaryImport"
"8","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","17","UnnecessaryImport: Unused import 'org.springframework.web.bind.annotation.RequestParam'","Code Style","UnnecessaryImport"
"9","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","19","UnnecessaryImport: Unused import 'org.springframework.web.method.annotation.MethodArgumentTypeMismatchException'","Code Style","UnnecessaryImport"
"10","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","22","UnnecessaryImport: Unused import 'com.mediaplayer.service.CommentService'","Code Style","UnnecessaryImport"
"11","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","25","UnnecessaryImport: Unused import 'jakarta.persistence.EntityManager'","Code Style","UnnecessaryImport"
"12","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","4","26","UnnecessaryImport: Unused import 'jakarta.persistence.PersistenceContext'","Code Style","UnnecessaryImport"
"13","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","30","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"14","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","30","CommentRequired: Class comments are required","Documentation","CommentRequired"
